"Maßlösung[ml]";pH-Wert
0;1.69
0.4;1.68
0.7;1.69
1.2;1.71
1.9;1.74
2.2;1.76
2.5;1.78
2.9;1.8
3.2;1.81
3.8;1.85
4.2;1.88
4.6;1.91
5;1.94
5.4;2
6;2.04
7;2.12
8;2.16
9;2.28
10;2.48
11;2.65
12;2.82
13;3.04
14;3.56
14.5;4.23
14.6;4.36
14.7;4.53
14.8;4.63
14.9;4.71
15;4.81
15.1;4.9
15.2;4.95
15.4;5.03
15.6;5.13
15.9;5.24
16.2;5.32
16.5;5.4
16.8;5.46
17.2;5.54
17.7;5.63
18.2;5.7
18.7;5.77
19.3;5.84
19.7;5.88
20.2;5.93
20.7;5.98
21.2;6.04
21.7;6.09
22.2;6.14
22.7;6.19
23.2;6.24
23.5;6.26
23.8;6.28
24.2;6.33
24.4;6.34
24.6;6.37
24.8;6.38
25;6.4
25.2;6.43
25.5;6.46
25.8;6.49
26.1;6.53
26.4;6.57
26.7;6.6
26.9;6.62
27.1;6.65
27.2;6.67
27.3;6.68
27.4;6.7
27.5;6.71
27.6;6.74
27.7;6.75
27.9;6.77
28;6.78
28.1;6.8
28.2;6.83
28.3;6.85
28.4;6.87
28.5;6.88
28.6;6.89
28.7;6.92
28.8;6.94
28.9;6.95
29;6.98
29.1;7
29.2;7.02
29.3;7.05
29.4;7.07
29.5;7.09
29.6;7.12
29.7;7.16
29.8;7.2
29.9;7.21
30;7.24
30.1;7.27
30.2;7.33
30.3;7.35
30.4;7.39
30.5;7.43
30.6;7.48
30.7;7.52
30.8;7.56
30.9;7.62
31;7.65
31.1;7.7
31.2;7.75
31.3;7.78
31.4;7.82
31.5;7.88
31.65;7.91
31.8;7.99
31.9;8.03
32;8.04
32.1;8.08
32.2;8.12
32.3;8.15
32.4;8.17
32.5;8.21
32.6;8.24
32.7;8.26
32.8;8.28
32.9;8.3
33;8.33
33.15;8.37
33.3;8.39
33.5;8.42
33.7;8.47
34;8.52
34.3;8.57
34.7;8.63
35.2;8.7
35.7;8.77
36.2;8.83
36.7;8.88
37.2;8.94
37.7;8.98
38.2;9.04
38.7;9.08
39.2;9.13
39.7;9.17
40.2;9.2
40.7;9.26
41.2;9.29
41.7;9.33
42.2;9.37
42.7;9.42
43.2;9.46
43.7;9.5
44.2;9.54
44.7;9.58
45.2;9.63
45.7;9.67
46.2;9.72
46.7;9.76
47.2;9.81
47.7;9.85
48.2;9.9
48.7;9.95
49.2;10.12
